entity_type,entity_name,cited_doc_count,non_cited_doc_count,cited_coverage_rate,non_cited_coverage_rate,coverage_lift,cited_total_mentions,non_cited_total_mentions,avg_salience_cited,avg_salience_non_cited
PRICE,$121,1,0,0.0588,0.0,0.588,1,0,0.0,0.0
PRICE,$13.26,1,0,0.0588,0.0,0.588,1,0,0.0,0.0
PRICE,£125,1,0,0.0588,0.0,0.588,2,0,0.0,0.0
PRICE,$349,1,0,0.0588,0.0,0.588,2,0,0.0,0.0
PRICE,$0.05,1,5,0.0588,0.1163,0.5056,1,6,0.0,0.0
PRICE,"$10,000",0,1,0.0,0.0233,0.0,0,1,0.0,0.0
PRICE,$6.59,0,1,0.0,0.0233,0.0,0,2,0.0,0.0
PRICE,$79,0,1,0.0,0.0233,0.0,0,1,0.0,0.0
PRICE,$5.00,0,1,0.0,0.0233,0.0,0,4,0.0,0.0
PRICE,$1M,0,1,0.0,0.0233,0.0,0,4,0.0,0.0
PRICE,€26,0,1,0.0,0.0233,0.0,0,1,0.0,0.0
PRICE,$0.10,0,2,0.0,0.0465,0.0,0,2,0.0,0.0
PRICE,0.03 €,0,1,0.0,0.0233,0.0,0,1,0.0,0.0
PRICE,100 euros,0,1,0.0,0.0233,0.0,0,1,0.0,0.0
PRICE,"$

35

k",0,1,0.0,0.0233,0.0,0,2,0.0,0.0
PRICE,$761,0,1,0.0,0.0233,0.0,0,1,0.0,0.0
PRICE,$12,0,1,0.0,0.0233,0.0,0,1,0.0,0.0
PRICE,$247,0,1,0.0,0.0233,0.0,0,1,0.0,0.0
PRICE,$25,0,3,0.0,0.0698,0.0,0,4,0.0,0.0
PRICE,$399.99,0,2,0.0,0.0465,0.0,0,2,0.0,0.0
PRICE,$449,0,1,0.0,0.0233,0.0,0,1,0.0,0.0
PRICE,49.00 €,0,1,0.0,0.0233,0.0,0,1,0.0,0.0
PRICE,$119.00,0,1,0.0,0.0233,0.0,0,1,0.0,0.0
PRICE,$215.99,0,1,0.0,0.0233,0.0,0,1,0.0,0.0
PRICE,$11.00,0,1,0.0,0.0233,0.0,0,1,0.0,0.0
PRICE,$145,0,1,0.0,0.0233,0.0,0,1,0.0,0.0
PRICE,$500K,0,1,0.0,0.0233,0.0,0,6,0.0,0.0
PRICE,US$5.89,0,1,0.0,0.0233,0.0,0,1,0.0,0.0
PRICE,$1.39,0,1,0.0,0.0233,0.0,0,1,0.0,0.0
PRICE,$107.99,0,1,0.0,0.0233,0.0,0,1,0.0,0.0
PRICE,$189,0,1,0.0,0.0233,0.0,0,1,0.0,0.0
PRICE,$2.02,0,1,0.0,0.0233,0.0,0,1,0.0,0.0
PRICE,$0.49,0,1,0.0,0.0233,0.0,0,1,0.0,0.0
PRICE,$4,0,1,0.0,0.0233,0.0,0,1,0.0,0.0
PRICE,0.00 €,0,1,0.0,0.0233,0.0,0,1,0.0,0.0
PRICE,$250,0,1,0.0,0.0233,0.0,0,2,0.0,0.0
PRICE,$323.99,0,1,0.0,0.0233,0.0,0,1,0.0,0.0
PRICE,$45,0,1,0.0,0.0233,0.0,0,1,0.0,0.0
PRICE,Rs. 25,0,1,0.0,0.0233,0.0,0,1,0.0,0.0
PRICE,$849.9,0,1,0.0,0.0233,0.0,0,1,0.0,0.0
PRICE,$10000,0,1,0.0,0.0233,0.0,0,1,0.0,0.0
PRICE,"$

3.13

AUD",0,1,0.0,0.0233,0.0,0,2,0.0,0.0
PRICE,$890,0,1,0.0,0.0233,0.0,0,1,0.0,0.0
PRICE,$25.3,0,1,0.0,0.0233,0.0,0,1,0.0,0.0
PRICE,€0.035,0,1,0.0,0.0233,0.0,0,1,0.0,0.0
PRICE,$24,0,1,0.0,0.0233,0.0,0,1,0.0,0.0
PRICE,$95.00,0,1,0.0,0.0233,0.0,0,1,0.0,0.0
PRICE,1.80 €,0,1,0.0,0.0233,0.0,0,1,0.0,0.0
PRICE,$55,0,1,0.0,0.0233,0.0,0,1,0.0,0.0
PRICE,$1,0,1,0.0,0.0233,0.0,0,1,0.0,0.0
PRICE,"$

3.1

M",0,1,0.0,0.0233,0.0,0,2,0.0,0.0
PRICE,$0.35,0,1,0.0,0.0233,0.0,0,1,0.0,0.0
PRICE,$371,0,1,0.0,0.0233,0.0,0,1,0.0,0.0
PRICE,$150,0,1,0.0,0.0233,0.0,0,2,0.0,0.0
PRICE,€399,0,1,0.0,0.0233,0.0,0,1,0.0,0.0
PRICE,$17,0,2,0.0,0.0465,0.0,0,2,0.0,0.0
DATE,"December 12, 2025",1,1,0.0588,0.0233,2.5236,1,1,0.0,0.0
DATE,"April 10, 2026",1,1,0.0588,0.0233,2.5236,3,2,0.0,0.0
DATE,"February 8, 2026",1,1,0.0588,0.0233,2.5236,2,2,0.0,0.0
DATE,"February 10, 2026",1,1,0.0588,0.0233,2.5236,1,1,0.0,0.0
DATE,"February 3, 2025",1,1,0.0588,0.0233,2.5236,1,1,0.0,0.0
DATE,"Mar 30, 2026",1,1,0.0588,0.0233,2.5236,1,1,0.0,0.0
DATE,"Mar 17, 2026",1,1,0.0588,0.0233,2.5236,2,2,0.0,0.0
DATE,"March 16, 2026",1,1,0.0588,0.0233,2.5236,7,3,0.0,0.0
DATE,"Feb 2, 2026",1,1,0.0588,0.0233,2.5236,1,1,0.0,0.0
DATE,"March 24, 2026",1,1,0.0588,0.0233,2.5236,2,2,0.0,0.0
DATE,"Jan 20, 2026",1,1,0.0588,0.0233,2.5236,1,1,0.0,0.0
DATE,2019,1,1,0.0588,0.0233,2.5236,1,1,0.0,0.0
DATE,"March 26, 2026",1,1,0.0588,0.0233,2.5236,1,5,0.0,0.0
DATE,"Mar 22, 2026",1,1,0.0588,0.0233,2.5236,1,1,0.0,0.0
DATE,2026,11,12,0.6471,0.2791,2.3185,35,31,0.0,0.0
DATE,2022,1,2,0.0588,0.0465,1.2645,1,2,0.0,0.0
DATE,2025,5,10,0.2941,0.2326,1.2644,18,29,0.0,0.0
DATE,"Apr 13, 2026",2,0,0.1176,0.0,1.176,2,0,0.0,0.0
DATE,"January 29, 2026",1,0,0.0588,0.0,0.588,1,0,0.0,0.0
DATE,"January 23, 2026",1,0,0.0588,0.0,0.588,1,0,0.0,0.0
DATE,31 Oct 2025,1,0,0.0588,0.0,0.588,1,0,0.0,0.0
DATE,"April 10, 2026 12:19 pm",1,0,0.0588,0.0,0.588,1,0,0.0,0.0
DATE,November 2022,1,0,0.0588,0.0,0.588,1,0,0.0,0.0
DATE,"December 30, 2019",1,0,0.0588,0.0,0.588,1,0,0.0,0.0
DATE,11/19/2025,1,0,0.0588,0.0,0.588,1,0,0.0,0.0
DATE,"January 7, 2025",1,0,0.0588,0.0,0.588,1,0,0.0,0.0
DATE,2035,1,0,0.0588,0.0,0.588,1,0,0.0,0.0
DATE,"January 28, 2026",1,0,0.0588,0.0,0.588,1,0,0.0,0.0
DATE,"Mar 31, 2026",1,0,0.0588,0.0,0.588,2,0,0.0,0.0
DATE,"March 23, 2026",1,0,0.0588,0.0,0.588,2,0,0.0,0.0
DATE,"December 29, 2025",1,0,0.0588,0.0,0.588,1,0,0.0,0.0
DATE,"December 12, 2019",1,0,0.0588,0.0,0.588,1,0,0.0,0.0
DATE,10/07/2025,1,0,0.0588,0.0,0.588,1,0,0.0,0.0
DATE,Apr 9,1,0,0.0588,0.0,0.588,1,0,0.0,0.0
DATE,"March 31, 2026",1,0,0.0588,0.0,0.588,1,0,0.0,0.0
DATE,"October 28, 2016 at 11:42 am",0,1,0.0,0.0233,0.0,0,1,0.0,0.0
DATE,"June 8, 2025",0,1,0.0,0.0233,0.0,0,1,0.0,0.0
DATE,"Jan 20, 2022",0,1,0.0,0.0233,0.0,0,1,0.0,0.0
DATE,"Feb 7, 2024",0,1,0.0,0.0233,0.0,0,1,0.0,0.0
DATE,"June 17, 2025",0,1,0.0,0.0233,0.0,0,1,0.0,0.0
DATE,"April 6, 2018 at 2:44 am",0,1,0.0,0.0233,0.0,0,1,0.0,0.0
DATE,2010,0,1,0.0,0.0233,0.0,0,1,0.0,0.0
DATE,"July 15, 2024",0,1,0.0,0.0233,0.0,0,2,0.0,0.0
DATE,"June 9, 2025",0,1,0.0,0.0233,0.0,0,1,0.0,0.0
DATE,"June 15, 2025",0,1,0.0,0.0233,0.0,0,1,0.0,0.0
DATE,"June 19, 2025",0,1,0.0,0.0233,0.0,0,2,0.0,0.0
DATE,"September 11, 2025",0,1,0.0,0.0233,0.0,0,1,0.0,0.0
DATE,06/30/15,0,1,0.0,0.0233,0.0,0,1,0.0,0.0
DATE,2029,0,1,0.0,0.0233,0.0,0,1,0.0,0.0
DATE,"June 21, 2025",0,1,0.0,0.0233,0.0,0,1,0.0,0.0
DATE,"Apr 8, 2026",0,1,0.0,0.0233,0.0,0,1,0.0,0.0
DATE,"Mar 19, 2026",0,1,0.0,0.0233,0.0,0,1,0.0,0.0
DATE,"June 25, 2025",0,1,0.0,0.0233,0.0,0,1,0.0,0.0
DATE,"Dec 16, 2022",0,1,0.0,0.0233,0.0,0,1,0.0,0.0
DATE,"June 25, 2018",0,1,0.0,0.0233,0.0,0,1,0.0,0.0
DATE,"February 10, 2017 at 4:01 am",0,1,0.0,0.0233,0.0,0,1,0.0,0.0
DATE,"October 24, 2024",0,1,0.0,0.0233,0.0,0,2,0.0,0.0
DATE,"April 6, 2026",0,1,0.0,0.0233,0.0,0,1,0.0,0.0
DATE,"June 27, 2025",0,1,0.0,0.0233,0.0,0,1,0.0,0.0
DATE,"June 12, 2025",0,1,0.0,0.0233,0.0,0,1,0.0,0.0
DATE,2012,0,1,0.0,0.0233,0.0,0,5,0.0,0.0
DATE,"September 9, 2022 at 4:57 am",0,1,0.0,0.0233,0.0,0,1,0.0,0.0
DATE,"June 20, 2025",0,1,0.0,0.0233,0.0,0,1,0.0,0.0
DATE,"June 14, 2025",0,1,0.0,0.0233,0.0,0,1,0.0,0.0
DATE,April 29,0,1,0.0,0.0233,0.0,0,1,0.0,0.0
DATE,"Jun 25, 2025",0,1,0.0,0.0233,0.0,0,1,0.0,0.0
DATE,2018,0,2,0.0,0.0465,0.0,0,3,0.0,0.0
DATE,"July 10, 2017 at 3:53 am",0,1,0.0,0.0233,0.0,0,1,0.0,0.0
DATE,"Mar 5, 2025",0,1,0.0,0.0233,0.0,0,1,0.0,0.0
DATE,"July 30, 2024",0,1,0.0,0.0233,0.0,0,1,0.0,0.0
DATE,"June 24, 2025",0,1,0.0,0.0233,0.0,0,1,0.0,0.0
DATE,"Mar 28, 2022",0,1,0.0,0.0233,0.0,0,1,0.0,0.0
DATE,"June 5, 2025",0,1,0.0,0.0233,0.0,0,1,0.0,0.0
DATE,"June 28, 2025",0,1,0.0,0.0233,0.0,0,1,0.0,0.0
DATE,2014,0,1,0.0,0.0233,0.0,0,2,0.0,0.0
DATE,"June 11, 2025",0,1,0.0,0.0233,0.0,0,1,0.0,0.0
DATE,"Jun 18, 2025",0,1,0.0,0.0233,0.0,0,1,0.0,0.0
DATE,"January 17, 2027",0,1,0.0,0.0233,0.0,0,1,0.0,0.0
DATE,"Sep 11, 2025",0,1,0.0,0.0233,0.0,0,1,0.0,0.0
DATE,"July 11, 2024",0,1,0.0,0.0233,0.0,0,1,0.0,0.0
DATE,2015,0,1,0.0,0.0233,0.0,0,1,0.0,0.0
DATE,"July 5, 2018",0,1,0.0,0.0233,0.0,0,1,0.0,0.0
DATE,"September 17, 2025",0,1,0.0,0.0233,0.0,0,1,0.0,0.0
DATE,"June 16, 2025",0,1,0.0,0.0233,0.0,0,1,0.0,0.0
DATE,"September 2, 2025",0,1,0.0,0.0233,0.0,0,3,0.0,0.0
DATE,March 2025,0,1,0.0,0.0233,0.0,0,1,0.0,0.0
DATE,"June 23, 2025",0,1,0.0,0.0233,0.0,0,1,0.0,0.0
DATE,"June 13, 2018 at 7:06 am",0,1,0.0,0.0233,0.0,0,1,0.0,0.0
DATE,"November 18, 2025",0,1,0.0,0.0233,0.0,0,4,0.0,0.0
DATE,"April 29, 2025",0,1,0.0,0.0233,0.0,0,1,0.0,0.0
DATE,"Jan 05, 2021, 05:50pm",0,1,0.0,0.0233,0.0,0,1,0.0,0.0
DATE,"June 6, 2025",0,1,0.0,0.0233,0.0,0,1,0.0,0.0
DATE,28 Jun 2024,0,1,0.0,0.0233,0.0,0,1,0.0,0.0
DATE,2024,0,6,0.0,0.1395,0.0,0,21,0.0,0.0
DATE,"January 9, 2016 at 2:36 pm",0,1,0.0,0.0233,0.0,0,1,0.0,0.0
DATE,"Mar 23, 2026",0,1,0.0,0.0233,0.0,0,1,0.0,0.0
DATE,"February 14, 2018 at 6:25 am",0,1,0.0,0.0233,0.0,0,1,0.0,0.0
DATE,"April 9, 2026",0,3,0.0,0.0698,0.0,0,8,0.0,0.0
DATE,"March 25, 2026",0,1,0.0,0.0233,0.0,0,1,0.0,0.0
DATE,"June 7, 2025",0,1,0.0,0.0233,0.0,0,1,0.0,0.0
DATE,"Jan 27, 2022",0,1,0.0,0.0233,0.0,0,1,0.0,0.0
DATE,"April 3, 2026",0,1,0.0,0.0233,0.0,0,1,0.0,0.0
DATE,"June 10, 2025",0,1,0.0,0.0233,0.0,0,1,0.0,0.0
DATE,2016,0,1,0.0,0.0233,0.0,0,1,0.0,0.0
DATE,"November 9, 2017 at 9:11 pm",0,1,0.0,0.0233,0.0,0,1,0.0,0.0
DATE,"October 29, 2024",0,1,0.0,0.0233,0.0,0,2,0.0,0.0
DATE,2009,0,1,0.0,0.0233,0.0,0,1,0.0,0.0
DATE,"May 13, 2024",0,1,0.0,0.0233,0.0,0,1,0.0,0.0
DATE,"June 7, 2024",0,1,0.0,0.0233,0.0,0,1,0.0,0.0
DATE,"June 13, 2025",0,1,0.0,0.0233,0.0,0,2,0.0,0.0
